,session_key,meeting_key,driver_number,date,position
269,9472,1229,18,2024-03-02T15:32:04.756000+00:00,12
270,9472,1229,22,2024-03-02T15:32:04.756000+00:00,11
271,9472,1229,23,2024-03-02T15:32:08.194000+00:00,14
272,9472,1229,31,2024-03-02T15:32:08.194000+00:00,15
273,9472,1229,55,2024-03-02T15:33:20.251000+00:00,3
274,9472,1229,63,2024-03-02T15:33:20.251000+00:00,4
275,9472,1229,27,2024-03-02T15:37:09.085000+00:00,18
276,9472,1229,77,2024-03-02T15:37:09.085000+00:00,17
277,9472,1229,10,2024-03-02T15:37:09.630000+00:00,18
278,9472,1229,27,2024-03-02T15:37:09.630000+00:00,19
279,9472,1229,3,2024-03-02T15:38:41.798000+00:00,15
280,9472,1229,31,2024-03-02T15:38:41.798000+00:00,16
281,9472,1229,18,2024-03-02T15:48:27.003000+00:00,13
282,9472,1229,20,2024-03-02T15:48:27.003000+00:00,12
283,9472,1229,22,2024-03-02T15:50:00.438000+00:00,10
284,9472,1229,24,2024-03-02T15:50:00.438000+00:00,11
285,9472,1229,18,2024-03-02T15:50:05.928000+00:00,14
286,9472,1229,23,2024-03-02T15:50:05.928000+00:00,13
287,9472,1229,3,2024-03-02T15:50:07.275000+00:00,14
288,9472,1229,18,2024-03-02T15:50:07.275000+00:00,15
289,9472,1229,18,2024-03-02T15:50:12.684000+00:00,16
290,9472,1229,31,2024-03-02T15:50:12.684000+00:00,15
291,9472,1229,18,2024-03-02T15:50:14.563000+00:00,17
292,9472,1229,77,2024-03-02T15:50:14.563000+00:00,16
293,9472,1229,10,2024-03-02T15:50:15.428000+00:00,17
294,9472,1229,18,2024-03-02T15:50:15.428000+00:00,18
295,9472,1229,20,2024-03-02T15:51:43.074000+00:00,11
296,9472,1229,24,2024-03-02T15:51:43.074000+00:00,12
297,9472,1229,23,2024-03-02T15:51:43.826000+00:00,12
298,9472,1229,24,2024-03-02T15:51:43.826000+00:00,13
299,9472,1229,3,2024-03-02T15:51:45.437000+00:00,13
300,9472,1229,24,2024-03-02T15:51:45.437000+00:00,14
301,9472,1229,24,2024-03-02T15:51:51.294000+00:00,15
302,9472,1229,31,2024-03-02T15:51:51.294000+00:00,14
303,9472,1229,24,2024-03-02T15:51:53.373000+00:00,16
304,9472,1229,77,2024-03-02T15:51:53.373000+00:00,15
305,9472,1229,10,2024-03-02T15:51:53.997000+00:00,16
306,9472,1229,24,2024-03-02T15:51:53.997000+00:00,17
307,9472,1229,10,2024-03-02T15:53:32.808000+00:00,15
308,9472,1229,77,2024-03-02T15:53:32.808000+00:00,16
309,9472,1229,16,2024-03-02T15:54:22.697000+00:00,4
310,9472,1229,63,2024-03-02T15:54:22.697000+00:00,5
311,9472,1229,10,2024-03-02T15:55:10.879000+00:00,16
312,9472,1229,24,2024-03-02T15:55:10.879000+00:00,14
313,9472,1229,31,2024-03-02T15:55:10.879000+00:00,15
314,9472,1229,77,2024-03-02T15:55:10.879000+00:00,17
315,9472,1229,10,2024-03-02T15:55:11.861000+00:00,17
316,9472,1229,18,2024-03-02T15:55:11.861000+00:00,15
317,9472,1229,31,2024-03-02T15:55:11.861000+00:00,16
318,9472,1229,77,2024-03-02T15:55:11.861000+00:00,18
319,9472,1229,10,2024-03-02T15:55:13.184000+00:00,16
320,9472,1229,31,2024-03-02T15:55:13.184000+00:00,17
321,9472,1229,27,2024-03-02T15:55:17.012000+00:00,17
322,9472,1229,31,2024-03-02T15:55:17.012000+00:00,18
323,9472,1229,77,2024-03-02T15:55:17.012000+00:00,19
324,9472,1229,4,2024-03-02T15:56:02.409000+00:00,5
325,9472,1229,63,2024-03-02T15:56:02.409000+00:00,6
326,9472,1229,63,2024-03-02T15:56:06.542000+00:00,7
327,9472,1229,81,2024-03-02T15:56:06.542000+00:00,6
328,9472,1229,44,2024-03-02T15:56:08.561000+00:00,7
329,9472,1229,63,2024-03-02T15:56:08.561000+00:00,8
330,9472,1229,14,2024-03-02T15:56:19.912000+00:00,8
331,9472,1229,63,2024-03-02T15:56:19.912000+00:00,9
332,9472,1229,20,2024-03-02T15:56:38.088000+00:00,12
333,9472,1229,23,2024-03-02T15:56:38.088000+00:00,11
334,9472,1229,3,2024-03-02T15:56:39.538000+00:00,12
335,9472,1229,20,2024-03-02T15:56:39.538000+00:00,13
336,9472,1229,10,2024-03-02T15:56:53.866000+00:00,17
337,9472,1229,27,2024-03-02T15:56:53.866000+00:00,16
338,9472,1229,10,2024-03-02T15:57:08.646000+00:00,18
339,9472,1229,31,2024-03-02T15:57:08.646000+00:00,17
340,9472,1229,18,2024-03-02T15:58:24.160000+00:00,13
341,9472,1229,20,2024-03-02T15:58:24.160000+00:00,14
342,9472,1229,24,2024-03-02T15:58:24.160000+00:00,15
343,9472,1229,20,2024-03-02T15:58:24.865000+00:00,15
344,9472,1229,24,2024-03-02T15:58:24.865000+00:00,14
345,9472,1229,20,2024-03-02T15:58:30.792000+00:00,16
346,9472,1229,27,2024-03-02T15:58:30.792000+00:00,15
347,9472,1229,4,2024-03-02T15:59:22.693000+00:00,6
348,9472,1229,81,2024-03-02T15:59:22.693000+00:00,5
349,9472,1229,4,2024-03-02T15:59:32.340000+00:00,7
350,9472,1229,14,2024-03-02T15:59:32.340000+00:00,9
351,9472,1229,44,2024-03-02T15:59:32.340000+00:00,8
352,9472,1229,63,2024-03-02T15:59:32.340000+00:00,6
353,9472,1229,4,2024-03-02T15:59:34.685000+00:00,8
354,9472,1229,14,2024-03-02T15:59:34.685000+00:00,7
355,9472,1229,44,2024-03-02T15:59:34.685000+00:00,9
356,9472,1229,16,2024-03-02T16:01:08.133000+00:00,5
357,9472,1229,63,2024-03-02T16:01:08.133000+00:00,4
358,9472,1229,81,2024-03-02T16:01:08.133000+00:00,6
359,9472,1229,14,2024-03-02T16:01:11.896000+00:00,5
360,9472,1229,16,2024-03-02T16:01:11.896000+00:00,6
361,9472,1229,81,2024-03-02T16:01:11.896000+00:00,7
362,9472,1229,4,2024-03-02T16:01:13.329000+00:00,7
363,9472,1229,81,2024-03-02T16:01:13.329000+00:00,8
364,9472,1229,44,2024-03-02T16:01:18.768000+00:00,8
365,9472,1229,81,2024-03-02T16:01:18.768000+00:00,9
366,9472,1229,22,2024-03-02T16:01:31.930000+00:00,11
367,9472,1229,23,2024-03-02T16:01:31.930000+00:00,10
368,9472,1229,3,2024-03-02T16:01:36.398000+00:00,11
369,9472,1229,22,2024-03-02T16:01:36.398000+00:00,12
370,9472,1229,18,2024-03-02T16:01:36.672000+00:00,12
371,9472,1229,22,2024-03-02T16:01:36.672000+00:00,13
372,9472,1229,22,2024-03-02T16:01:37.947000+00:00,14
373,9472,1229,24,2024-03-02T16:01:37.947000+00:00,13
374,9472,1229,22,2024-03-02T16:01:44.289000+00:00,15
375,9472,1229,27,2024-03-02T16:01:44.289000+00:00,14
376,9472,1229,14,2024-03-02T16:02:46.475000+00:00,6
377,9472,1229,16,2024-03-02T16:02:46.475000+00:00,5
378,9472,1229,4,2024-03-02T16:02:48.969000+00:00,6
379,9472,1229,14,2024-03-02T16:02:48.969000+00:00,7
380,9472,1229,3,2024-03-02T16:03:12.668000+00:00,12
381,9472,1229,18,2024-03-02T16:03:12.668000+00:00,11
382,9472,1229,3,2024-03-02T16:03:15.061000+00:00,13
383,9472,1229,24,2024-03-02T16:03:15.061000+00:00,12
384,9472,1229,3,2024-03-02T16:03:21.152000+00:00,14
385,9472,1229,27,2024-03-02T16:03:21.152000+00:00,13
386,9472,1229,3,2024-03-02T16:03:23.492000+00:00,15
387,9472,1229,20,2024-03-02T16:03:23.492000+00:00,14
388,9472,1229,22,2024-03-02T16:03:23.492000+00:00,16
389,9472,1229,3,2024-03-02T16:03:24.464000+00:00,16
390,9472,1229,22,2024-03-02T16:03:24.464000+00:00,15
391,9472,1229,18,2024-03-02T16:04:48.629000+00:00,10
392,9472,1229,23,2024-03-02T16:04:48.629000+00:00,11
393,9472,1229,23,2024-03-02T16:04:51.723000+00:00,12
394,9472,1229,24,2024-03-02T16:04:51.723000+00:00,11
395,9472,1229,23,2024-03-02T16:04:57.918000+00:00,13
396,9472,1229,27,2024-03-02T16:04:57.918000+00:00,12
397,9472,1229,20,2024-03-02T16:04:59.136000+00:00,13
398,9472,1229,23,2024-03-02T16:04:59.136000+00:00,14
399,9472,1229,22,2024-03-02T16:05:00.350000+00:00,14
400,9472,1229,23,2024-03-02T16:05:00.350000+00:00,15
401,9472,1229,3,2024-03-02T16:05:08.735000+00:00,15
402,9472,1229,23,2024-03-02T16:05:08.735000+00:00,16
403,9472,1229,20,2024-03-02T16:06:35.380000+00:00,12
404,9472,1229,27,2024-03-02T16:06:35.380000+00:00,13
405,9472,1229,22,2024-03-02T16:06:37.398000+00:00,13
406,9472,1229,27,2024-03-02T16:06:37.398000+00:00,14
407,9472,1229,14,2024-03-02T16:07:39.415000+00:00,8
408,9472,1229,44,2024-03-02T16:07:39.415000+00:00,7
409,9472,1229,14,2024-03-02T16:09:17.635000+00:00,9
410,9472,1229,81,2024-03-02T16:09:17.635000+00:00,8
411,9472,1229,3,2024-03-02T16:11:30.851000+00:00,14
412,9472,1229,27,2024-03-02T16:11:30.851000+00:00,15
413,9472,1229,14,2024-03-02T16:12:50.652000+00:00,10
414,9472,1229,18,2024-03-02T16:12:50.652000+00:00,9
415,9472,1229,14,2024-03-02T16:12:55.181000+00:00,11
416,9472,1229,24,2024-03-02T16:12:55.181000+00:00,10
417,9472,1229,23,2024-03-02T16:13:09.368000+00:00,15
418,9472,1229,27,2024-03-02T16:13:09.368000+00:00,16
