,position,driver_number,date,session_key,meeting_key
389,8,18,2023-07-28T15:10:41.735000+00:00,9135,1216
390,13,20,2023-07-28T15:10:41.735000+00:00,9135,1216
391,12,22,2023-07-28T15:10:41.735000+00:00,9135,1216
392,16,24,2023-07-28T15:10:41.735000+00:00,9135,1216
393,15,27,2023-07-28T15:10:41.735000+00:00,9135,1216
394,9,55,2023-07-28T15:10:41.735000+00:00,9135,1216
395,15,3,2023-07-28T15:10:46.110000+00:00,9135,1216
396,12,11,2023-07-28T15:10:46.110000+00:00,9135,1216
397,11,16,2023-07-28T15:10:46.110000+00:00,9135,1216
398,9,18,2023-07-28T15:10:46.110000+00:00,9135,1216
399,14,20,2023-07-28T15:10:46.110000+00:00,9135,1216
400,13,22,2023-07-28T15:10:46.110000+00:00,9135,1216
401,8,24,2023-07-28T15:10:46.110000+00:00,9135,1216
402,16,27,2023-07-28T15:10:46.110000+00:00,9135,1216
403,10,55,2023-07-28T15:10:46.110000+00:00,9135,1216
404,16,3,2023-07-28T15:11:02.610000+00:00,9135,1216
405,13,11,2023-07-28T15:11:02.610000+00:00,9135,1216
406,5,14,2023-07-28T15:11:02.610000+00:00,9135,1216
407,12,16,2023-07-28T15:11:02.610000+00:00,9135,1216
408,10,18,2023-07-28T15:11:02.610000+00:00,9135,1216
409,15,20,2023-07-28T15:11:02.610000+00:00,9135,1216
410,14,22,2023-07-28T15:11:02.610000+00:00,9135,1216
411,9,24,2023-07-28T15:11:02.610000+00:00,9135,1216
412,4,27,2023-07-28T15:11:02.610000+00:00,9135,1216
413,6,44,2023-07-28T15:11:02.610000+00:00,9135,1216
414,11,55,2023-07-28T15:11:02.610000+00:00,9135,1216
415,7,63,2023-07-28T15:11:02.610000+00:00,9135,1216
416,8,77,2023-07-28T15:11:02.610000+00:00,9135,1216
417,14,11,2023-07-28T15:11:06.048000+00:00,9135,1216
418,6,14,2023-07-28T15:11:06.048000+00:00,9135,1216
419,13,16,2023-07-28T15:11:06.048000+00:00,9135,1216
420,11,18,2023-07-28T15:11:06.048000+00:00,9135,1216
421,4,20,2023-07-28T15:11:06.048000+00:00,9135,1216
422,15,22,2023-07-28T15:11:06.048000+00:00,9135,1216
423,10,24,2023-07-28T15:11:06.048000+00:00,9135,1216
424,5,27,2023-07-28T15:11:06.048000+00:00,9135,1216
425,7,44,2023-07-28T15:11:06.048000+00:00,9135,1216
426,12,55,2023-07-28T15:11:06.048000+00:00,9135,1216
427,8,63,2023-07-28T15:11:06.048000+00:00,9135,1216
428,9,77,2023-07-28T15:11:06.048000+00:00,9135,1216
429,15,11,2023-07-28T15:11:17.266000+00:00,9135,1216
430,7,14,2023-07-28T15:11:17.266000+00:00,9135,1216
431,14,16,2023-07-28T15:11:17.266000+00:00,9135,1216
432,12,18,2023-07-28T15:11:17.266000+00:00,9135,1216
433,5,20,2023-07-28T15:11:17.266000+00:00,9135,1216
